,retail_name,retail_state,snap,wic,alcohol,pharmacy,any_tob_sld,str_typ,year,can_surveyD,storelistmatch,c_any_str_typ,c_any_tob_sld,retail_st_geo,str_typ1,Convenience store with or without gas,Drug store or pharmacy ,"Beer, wine, liquor store",Mass merchandiser,Grocery store ,Other store type not listed,Tobacco Hookah ECig
0,1st avenue citgo,AL,0.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.014521689658421948,0.005057771225601289,0.004750024009191539,0.0,0.0018010399901246716,0.002459908131499831,0.0019160697663662362
1,1st avenue exxon,AL,1.0,1.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.014951567214398762,0.005057771225601289,0.004750024009191539,0.0,0.0,0.004263029948743993,0.0019160697663662362
2,40th street grocery,AL,1.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.010444900906623677,0.0,0.006964194559067914,0.0029085540020264166,0.014066408749789212,0.007694462469976346,0.004021087557641617
3,6th ave exxon,AL,1.0,1.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.013369116535291818,0.0,0.0017173157779349745,0.0,0.0015394692786967073,0.0018031218172441623,0.0
4,77th food mart,AL,0.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.013337458125114644,0.015582402663711336,0.009219469431415085,0.019829688871711798,0.015279131050868292,0.0105045139758653,0.007005574467376322
5,78 food mart,AL,0.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.014053184578316677,0.015582402663711336,0.009219469431415085,0.019829688871711798,0.015279131050868292,0.0105045139758653,0.007005574467376322
6,airport mini mart,AL,0.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.013761216874497995,0.009024994045759344,0.010871763107083448,0.010754368603254523,0.01081220482205846,0.011542323991233117,0.0069548727319183245
7,amoco bp,AL,1.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,0,1,1.0,Alabama,Convenience,0.02002587837282496,0.0,0.0029819739891608302,0.0,0.0,0.005616407898000393,0.004374728157989275
8,bankhead food mart,AL,1.0,1.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.013337458125114644,0.015582402663711336,0.009219469431415085,0.019829688871711798,0.015279131050868292,0.0105045139758653,0.007005574467376322
9,bmm foodmart,AL,1.0,1.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,,0,1,1.0,Alabama,Convenience,0.012382086560701633,0.0,0.0,0.0,0.0,0.0,0.0
10,carson mart,AL,1.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.010913822972689656,0.018049988091518688,0.007652880045808331,0.021508737206509046,0.00913845486247073,0.006978643515396731,0.006245466398371704
11,central park chevron,AL,1.0,1.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.01416796749671694,0.00445229655951955,0.008722755937601636,0.0,0.002689408883274649,0.0067122342030629225,0.0057270801910626066
12,chalkville jet pep,AL,1.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.01291629167974878,0.0,0.0,0.0,0.0,0.0030529506210730784,0.0
13,chalkville texaco,AL,0.0,0.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.013813539467105703,0.0,0.0,0.0,0.0,0.0,0.0
14,citizens express pharmacy,AL,0.0,0.0,1.0,1.0,1.0,Drug store or pharmacy ,2016.0,1.0,1,1,1.0,Alabama,Drug,0.004219828473536736,0.04157352487023775,0.0028316100571476373,0.008802626184610033,0.004829661207854211,0.005599977709045969,0.002519401482776044
15,classic wine and spirits,AL,0.0,0.0,1.0,0.0,1.0,"Beer, wine, liquor store",2016.0,1.0,1,1,1.0,Alabama,"Beer,",0.007174322334016557,0.0026185403647921465,0.03691374332341703,0.0025495993218578586,0.0070445428180443415,0.006980037241156276,0.008067989915355598
16,crestline package store,AL,0.0,0.0,1.0,0.0,1.0,"Beer, wine, liquor store",2016.0,1.0,1,1,1.0,Alabama,"Beer,",0.007415487015137122,0.01035974000451218,0.023671542531719107,0.01653173128162664,0.00600622879037058,0.0077512653145688825,0.01012167959724612
17,d  k food shop,AL,1.0,1.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.018869430342817826,0.0124952774600909,0.016014180811114217,0.013997991221193074,0.018900993586194046,0.015132117370282638,0.023210085719136842
18,dollar general 13214,AL,1.0,1.0,1.0,0.0,1.0,Mass merchandiser,2016.0,1.0,1,1,1.0,Alabama,Mass,0.009758509639683069,0.010426698883986842,0.0,0.07985659964093622,0.015351532417900285,0.012904457956085448,0.002855820671351416
19,dollar general 13847,AL,1.0,0.0,1.0,0.0,1.0,Mass merchandiser,2016.0,1.0,1,1,1.0,Alabama,Mass,0.009758509639683069,0.010426698883986842,0.0,0.07985659964093622,0.015351532417900285,0.012904457956085448,0.002855820671351416
20,dollar general 14177,AL,1.0,1.0,1.0,0.0,1.0,Mass merchandiser,2016.0,1.0,1,1,1.0,Alabama,Mass,0.009758509639683069,0.010426698883986842,0.0,0.07985659964093622,0.015351532417900285,0.012904457956085448,0.002855820671351416
21,dollar general 4110,AL,1.0,1.0,1.0,0.0,1.0,Mass merchandiser,2016.0,1.0,1,1,1.0,Alabama,Mass,0.009758509639683069,0.010426698883986842,0.0,0.07985659964093622,0.015351532417900285,0.012904457956085448,0.002855820671351416
22,dollar general store 11753,AL,1.0,1.0,1.0,0.0,1.0,Mass merchandiser,2016.0,1.0,1,1,1.0,Alabama,Mass,0.014021418552023447,0.013857625925666016,0.0036045507751665934,0.09458830581846729,0.020975474374743914,0.017215885228988054,0.005513823137884569
23,dollar general store 12094,AL,1.0,1.0,1.0,0.0,1.0,Mass merchandiser,2016.0,1.0,1,1,1.0,Alabama,Mass,0.014021418552023447,0.013857625925666016,0.0036045507751665934,0.09458830581846729,0.020975474374743914,0.017215885228988054,0.005513823137884569
24,downtown chevron food mart,AL,1.0,1.0,1.0,0.0,1.0,Convenience store with or without gas,2016.0,1.0,1,1,1.0,Alabama,Convenience,0.01777876284059314,0.010388268442474223,0.009342534677413196,0.013219792581141199,0.010186087367245529,0.008742716640527233,0.004670382978250881
